Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
UNIVO Education,3.3,EdTech | Noida +5 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Skill Development / Learning",209,1.1k,13,--,5,12,500
KisanKraft Machine Tools,3.9,Industrial Machinery | Bangalore/Bengaluru +19 other locations,"Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",207,750,11,1,13,--,500
RNF Technologies,3.5,IT Services & Consulting | Noida +4 other locations,"Critically Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",207,1.2k,17,1,69,--,500
Groww,3.8,Financial Services | Bangalore +8 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",207,1.7k,65,1,15,3,500
Sakra World Hospital,4.2,Healthcare | Bangalore/Bengaluru +8 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Job Security",207,849,7,--,35,--,500
Accurate Global Alliances,4.7,Recruitment | Noida +5 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",206,57,9,--,8,--,500
Blenheim Chalcot,2.8,IT Services & Consulting | London +5 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",206,1.3k,39,23,11,7,500
Manba Finance,3.7,NBFC | Mumbai +26 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",206,846,7,8,9,--,500
Gold's Gym,4,Fitness & Wellness | Dallas +48 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction  Critically Rated For Job Security, Promotions / Appraisal",206,729,14,--,33,--,500
Tokai Rubber Auto Parts India,3.5,Industrial Machinery | Bangalore/Bengaluru +11 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",206,994,16,--,31,--,500
Envestnet Asset Management,3.9,Financial Services | Chicago +4 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",206,1.8k,18,14,26,--,500
Mirafra Technologies,4.1,Semiconductors | Bangalore/Bengaluru +5 other locations,"Highly Rated For Work Life Balance, Company Culture, Salary & Benefits",206,2k,46,55,16,--,500
Lumax Auto Technologies Ltd,4.2,Auto Components | Delhi/NCR +14 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance",206,1.2k,10,--,10,--,500
Fresenius Medical Care,3.7,Healthcare | Massachusetts +31 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",206,852,13,10,29,--,500
Informatica Business Solutions,3.9,Software Product | Redwood City +3 other locations,"Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  Critically Rated For Job Security",206,2k,33,6,22,--,500
Toshiba,3.9,Industrial Machinery | Tokyo +30 other locations,"Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",206,1.3k,28,--,25,4,500
BMW,4.3,Automobile | Munich +32 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture",206,1.3k,17,--,20,--,500
Webixy Technologies,4.9,IT Services & Consulting | Kanpur +2 other locations,"Highly Rated For Company Culture, Work Satisfaction, Promotions / Appraisal",206,50,1,--,1,--,500
National Institute of Technology,4.2,Education & Training | New Delhi +30 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning, Work Satisfaction  Critically Rated For Promotions / Appraisal",206,1.4k,11,--,15,--,500
Spectraforce Technologies,3.3,Recruitment | Raleigh +12 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Job Security",206,1.2k,23,26,21,--,500
Befree Business Resourceing,3.3,Accounting & Auditing | Parramatta +10 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",206,1.2k,44,18,27,--,500
Oswaal Books and Learning Private Limited,4.3,Printing & Publishing | Agra +10 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance",206,303,18,29,27,38,500
Reliable Autotech,4.3,Auto Components | Nasik/Nashik +3 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance",206,1k,7,--,33,--,500
Brinton Pharmaceuticals,4.1,Pharma | Pune +31 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",205,555,9,18,51,1,500
Guiltfree Industries,3.8,FMCG | Kolkata +46 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal, Job Security",205,922,21,15,16,2,500
Oncquest Laboratories,3.5,Healthcare | Delhi/NCR +28 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",205,877,11,3,17,1,500
Born Group,3.6,Marketing & Advertising | New York +10 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",205,2k,18,--,21,--,500
Namaste India Foods,3.9,Food Processing | Kanpur +20 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,205,684,9,--,34,--,500
Indiafilings,3.6,Financial Services | Chennai +10 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Life Balance",205,894,23,5,7,--,500
Confederation of Indian Industry,3.2,Law Enforcement & Security | Delhi/NCR +35 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",205,1.4k,16,--,11,--,500
SquadStack,3.6,IT Services & Consulting | Noida +14 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",205,711,24,5,22,--,500
PhyCARE Solutions,3.9,Healthcare | Bronx +5 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  Critically Rated For Salary & Benefits, Promotions / Appraisal",205,912,15,1,24,--,500
Alchem International,3.9,Pharma | Gurgaon/Gurugram +23 other locations,"Highly Rated For Salary & Benefits, Work Life Balance",205,1k,10,--,18,--,500
Guiltfree Industries,3.8,FMCG | Kolkata +46 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal, Job Security",205,922,21,15,16,2,500
Kuwait Oil Company,4.5,Oil & Gas | Ahmadi +16 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Company Culture",205,848,15,--,27,--,500
American Tower Corporation,3.9,Telecom | Boston +40 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",205,1.2k,6,--,31,--,500
Media.net Software Services (India),3.5,Marketing & Advertising | Dubai +5 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",205,1.9k,68,8,29,2,500
AI Variant,4.2,Bangalore +10 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture  Critically Rated For Salary & Benefits",205,1.2k,22,--,11,--,500
Rentrip.in,5,Fatehpur Sikri +1 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",204,4,--,--,8,--,500
Bazar India,3.7,Retail | Gurgaon +51 other locations,"Critically Rated For Salary & Benefits, Promotions / Appraisal",204,548,13,--,5,--,500
Health Total,3.3,Fitness & Wellness | Mumbai +12 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Salary & Benefits",204,673,8,1,26,--,500
Scania,4.2,Auto Components | Södertälje +20 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction  Critically Rated For Promotions / Appraisal",204,621,13,--,40,1,500
Siegwerk,4,Chemicals | Siegburg +23 other locations,"Highly Rated For Salary & Benefits, Work Life Balance, Job Security",204,956,13,3,26,1,500
Narula Infrastructure,4,Engineering & Construction | Kolkata +46 other locations,Critically Rated For Promotions / Appraisal,204,598,14,--,17,--,500
Meenakshi Polymers,3.6,Auto Components | Gurgaon/Gurugram +18 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",204,1k,14,--,24,--,500
Laxmi Civil Engineering Services,4.1,Engineering & Construction | Kolhapur +45 other locations,"Highly Rated For Job Security, Company Culture, Work Satisfaction",205,809,11,22,24,--,500
Grassroots BPO,3.8,BPO | Bangalore/Bengaluru +7 other locations,"Critically Rated For Salary & Benefits, Promotions / Appraisal, Company Culture",204,760,7,--,52,--,500
Toyota Material Handling,3.6,Industrial Machinery | Gurgaon/Gurugram +28 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Work Life Balance, Work Satisfaction, Promotions / Appraisal",204,950,11,--,30,--,500
Rentrip.in,5,Fatehpur Sikri +1 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",204,4,--,--,8,--,500
Meenakshi Polymers,3.6,Auto Components | Gurgaon/Gurugram +18 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",204,1k,14,--,24,--,500
Narula Infrastructure,4,Engineering & Construction | Kolkata +46 other locations,Critically Rated For Promotions / Appraisal,204,598,14,--,17,--,500
RM Education Solutions,3.5,IT Services & Consulting | Thiruvananthapuram +8 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",204,1.8k,23,1,29,--,500
Sentiss Pharma,4,Healthcare | Gurgaon/Gurugram +21 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",204,1.1k,7,3,34,--,500
Petrofac Engineering India,4.2,Petrochemicals | London +11 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction, Salary & Benefits  Critically Rated For Job Security",204,1.2k,11,--,19,--,500
Technocon Services,3.2,Telecom | Kolkata +28 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",204,808,7,1,17,--,500
Bajaj Energy,4.3,Power | Mumbai +14 other locations,"Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning",204,822,10,--,30,--,500
S Chand Group,4.2,Printing & Publishing | New Delhi +32 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture",204,965,3,2,24,--,500
SBI Payment Services,4.2,Financial Services | Mumbai +85 other locations,"Highly Rated For Work Life Balance, Work Satisfaction, Company Culture",204,1k,15,8,20,--,500
Yubi,3.5,Financial Services | Chennai +10 other locations,Highly Rated For Salary & Benefits  Critically Rated For Job Security,205,1.3k,36,28,21,--,500
Javi Systems,3.6,IT Services & Consulting | Bangalore/Bengaluru +33 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",203,746,8,--,17,--,500
Flash Viven Machining Technologies,3.7,Auto Components | New Delhi +1 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",203,1.3k,14,--,22,2,500
Vcs Quality Services,4.1,Oil & Gas | Mumbai +45 other locations,"Highly Rated For Work Satisfaction, Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",203,953,12,3,32,--,500
Modern V.R. Security Force,4.1,Law Enforcement & Security | Mumbai +53 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",204,612,4,--,8,1,500
Anupam Rasayan India,3.7,Chemicals | Surat +10 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",203,1.2k,17,--,16,--,500
Normet,3.8,Industrial Machinery | Espoo +18 other locations,Critically Rated For Promotions / Appraisal,203,998,17,3,32,1,500
Classcanyon,4.6,Education & Training | Greater Noida +4 other locations,"Highly Rated For Skill Development / Learning, Promotions / Appraisal, Work Life Balance",203,63,7,--,38,--,500
Rajiv Gandhi Cancer Institute & Research Centre,4.1,Healthcare | Delhi/NCR +4 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,203,912,11,21,19,--,500
The Smart Cube,3.6,Management Consulting | London +7 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",204,1.8k,26,--,33,--,500
Shivani Locks,3.6,Industrial Machinery | Faridabad +9 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",203,1.1k,5,--,17,--,500
Jain University,3.7,Education & Training | Bangalore +7 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",203,905,24,--,29,--,500
Marelli Motherson Automotive Lighting,3.7,Sanand +13 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Life Balance",203,980,14,--,17,1,500
Krishna Group,4.1,Gurgaon +21 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning",204,1.1k,18,--,6,--,500
Group Bayport,4.2,Printing & Publishing | New Delhi +4 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture",204,825,18,1,23,6,500
Netaxis IT Solutions,4,IT Services & Consulting | Chennai +2 other locations,"Highly Rated For Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",202,292,18,4,118,1,500
Automotive Axles,3.9,Auto Components | Mysore +9 other locations,Critically Rated For Promotions / Appraisal,202,908,6,--,24,--,500
Reliance Cement Company,4.3,Building Material | Kathmandu +29 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture",202,774,7,--,18,--,500
Rucha Engineers,3.8,Industrial Machinery | Ghaziabad +13 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,202,1.2k,15,--,21,--,500
Netsmartz Infotech,3.8,IT Services & Consulting | Pittsford +8 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security",206,1.2k,16,7,24,--,500
Kd Logistics,3.8,Logistics | Mumbai +31 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,203,847,15,--,22,--,500
Securens System,4,Law Enforcement & Security | Mumbai +34 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,202,754,4,1,28,--,500
Indus Valley Partners,3.3,IT Services & Consulting | New York +7 other locations,"Highly Rated For Job Security  Critically Rated For Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",202,1.9k,38,15,50,8,500
Toyota Tsusho,4,Metals & Mining | Nagoya +23 other locations,"Highly Rated For Job Security, Salary & Benefits, Work Life Balance",203,1.4k,12,--,29,--,500
National Highways Authority of India,4.1,Engineering & Construction | Delhi/NCR +108 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Work Satisfaction  Critically Rated For Promotions / Appraisal, Job Security",202,1.1k,14,--,11,1,500
Bombay Rayon Fashions,3.6,Fashion & Textile | Mumbai +17 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Salary & Benefits",202,928,3,--,19,--,500
Intech Organics,3.4,Gurugram +14 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",201,1k,20,14,12,8,500
Touchstone Educationals,3.3,Education & Training | Chandigarh +29 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Life Balance",202,575,15,--,19,--,500
Bombay Rayon Fashions,3.6,Fashion & Textile | Mumbai +17 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Salary & Benefits",202,928,3,--,19,--,500
Apmosys Technologies,3.5,IT Services & Consulting | Mumbai +5 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",202,2.1k,46,4,14,--,500
TNT Express,4.3,Logistics | Hoofddorp +33 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Work Satisfaction",201,470,5,--,40,--,500
Mfar Constructions,3.9,Engineering & Construction | Bangalore/Bengaluru +11 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,201,844,11,--,32,--,500
Can Fin Homes,2.9,NBFC | Bangalore +65 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",201,828,10,--,18,--,500
Ivy Hospital,3.5,Healthcare | Mohali +12 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Salary & Benefits",201,851,10,27,13,--,500
Government of Andhra Pradesh,3.9,Government | Velagapudi +60 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",201,1.1k,4,2,16,--,500
Panzer Technologies,4.7,IT Services & Consulting | Hyderabad,"Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction",201,237,4,89,11,--,500
Gemini Solutions,3.2,IT Services & Consulting | Gurgaon/Gurugram +10 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",201,2k,31,65,19,--,500
Klaus IT Solutions,3.5,IT Services & Consulting | Bangalore/Bengaluru +6 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",201,1.3k,12,--,16,--,500
Avontix,4,IT Services & Consulting | Hyderabad/Secunderabad +2 other locations,"Highly Rated For Job Security, Skill Development / Learning, Work Life Balance",201,695,17,8,10,--,500
Waste Management Holdings,3.8,Waste Management | Houston +12 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",201,1.2k,13,--,18,--,500
Gujarat State Fertilizers & Chemicals,4.5,Agro Chemicals | Vadodara/Baroda +26 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture",201,949,12,--,22,--,500
International Flavors & Fragrances,3.9,Chemicals | New York +13 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",202,1.5k,16,62,26,--,500
STYLAM Industries,3.4,Engineering & Construction | Chandigarh +25 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",201,1.1k,11,3,13,1,500
Zee Media Corporation,3.6,Media & Entertainment | Noida +16 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",201,1.3k,13,--,21,--,500
Sunteck Realty,3.4,Real Estate | Mumbai +7 other locations,"Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Life Balance",201,1.3k,21,13,10,--,500
Control Print,3.9,Consumer Electronics & Appliances | Mumbai +28 other locations,Critically Rated For Promotions / Appraisal,201,1.2k,19,7,32,--,500
Netenrich Technologies,3.7,Software Product | San Jose +5 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",201,1.9k,28,11,32,--,500
Suntory Global Spirits,4,Beverage | Chicago +46 other locations,"Highly Rated For Salary & Benefits, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",201,844,15,1,17,--,500
HOLITECH INDIA,3.9,Electronics Manufacturing | Agra +12 other locations,"Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",200,777,25,--,44,2,500
National Insurance Company,4.3,Insurance | Kolkata +69 other locations,"Highly Rated For Job Security, Work Life Balance, Work Satisfaction",200,579,4,--,23,--,500
Sterling Talent Solutions,3.9,Internet | Bothell +3 other locations,"Critically Rated For Job Security, Promotions / Appraisal",200,845,9,1,38,--,500
Autodesk,4.3,Software Product | San Francisco +21 other locations,"Highly Rated For Company Culture, Work Life Balance, Salary & Benefits",200,2.2k,38,85,30,10,500
Piramal Foundation,4.1,Non-Profit | Mumbai +59 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning",200,828,13,3,19,--,500
Verse Innovation,3.6,Internet | Bangalore/Bengaluru +14 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",200,1.3k,24,1,27,--,500
Aqualite India,3.8,Fashion & Textile | Delhi/NCR +28 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal, Job Security, Company Culture",200,801,14,--,9,--,500
Danone Foods Beverages,3.4,Food Processing | Paris +41 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Job Security",200,979,8,--,16,6,500
Duroshox,3.6,Auto Components | Pune +3 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",200,951,15,1,26,--,500
Perkins,4.3,Engineering & Construction | Chennai +7 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal",200,1.1k,10,--,25,--,500
Ratnadeep Super Market,4.2,Retail | Hyderabad/Secunderabad +9 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture",200,873,14,2,23,1,500
AvenData GmbH,3.2,IT Services & Consulting | Berlin +2 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",200,623,16,--,17,--,500
Ketto,3.8,Internet | Mumbai +5 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",200,634,9,6,22,3,500
Shorthills AI,4.4,Emerging Technologies | New Jersey +3 other locations,"Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",200,394,11,7,66,--,500
Borgwarner Emission System,4,Auto Components | Auburn Hills +10 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Skill Development / Learning",200,1.3k,13,--,20,--,500
Aspiro Pharma,3.8,Pharma | Bangalore +2 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",200,956,8,--,21,--,500
National Australia Bank,3.2,Banking | Docklands +6 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",200,1.7k,33,3,2,11,500
Naandi Foundation,3.9,Non-Profit | Hyderabad/Secunderabad +47 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction  Critically Rated For Promotions / Appraisal, Job Security",199,595,13,1,31,--,500
Lion Engineering Consultants,3.6,Engineering & Construction | Bhopal +45 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",201,714,8,4,16,--,500
Shivam Infocom,4.2,Telecom | Delhi/NCR +27 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal",199,693,3,--,14,--,500
DigiCall Teleservices,4,Telecom | Johannesburg +13 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",199,401,2,--,26,--,500
Nalco,4.1,Metals & Mining | Bhubaneswar +11 other locations,"Highly Rated For Job Security, Salary & Benefits, Work Life Balance",200,724,21,--,21,7,500
Government of West Bengal,3.6,Government | Howrah +34 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",199,849,6,--,17,--,500
Dotsquares,3.2,IT Services & Consulting | London +4 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",199,1.9k,21,18,12,1,500
Metawallah,4.9,Internet | Gurgaon/Gurugram +13 other locations,"Highly Rated For Salary & Benefits, Work Life Balance, Skill Development / Learning",199,24,6,--,2,--,500
Galaxy Weblinks,3.7,IT Services & Consulting | Indore +9 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",199,830,14,10,87,6,500
Hicare Services,3.9,Facility Management Services | Mumbai +24 other locations,Highly Rated For Company Culture  Critically Rated For Promotions / Appraisal,199,926,12,--,24,--,500
Innoplexus,4,IT Services & Consulting | Eschborn +1 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",199,576,10,7,12,--,500
Cargo Service Center India,3.7,Logistics | Mumbai +11 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",199,801,11,1,27,2,500
Edward Food Research and Analysis Centre,4.2,Analytics & KPO | Kolkata +3 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",200,609,20,--,19,17,500
Mit World Peace University,3.9,Education & Training | Pune +5 other locations,"Highly Rated For Job Security, Work Life Balance",199,883,8,13,19,--,500
FarEye,3.1,Noida +6 other locations,"Critically Rated For Job Security, Skill Development / Learning, Work Satisfaction",199,1.5k,25,--,21,--,500
Presto Infosolutions,4,Hardware & Networking | Delhi/NCR +41 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Job Security",199,1.1k,9,1,11,1,500
Cordlife Sciences India,3.7,Pharma | Kolkata +32 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",199,672,9,9,31,--,500
Jms Mining Services,3.8,Metals & Mining | Kolkata +24 other locations,"Highly Rated For Job Security, Salary & Benefits  Critically Rated For Company Culture, Work Satisfaction",199,864,22,--,29,--,500
Reecomps Teleservices,3.8,Telecom | Allahabad +42 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",199,685,11,--,13,--,500
Bharat Wire Ropes,3.5,Iron & Steel | Mumbai +9 other locations,"Critically Rated For Company Culture, Work Satisfaction, Promotions / Appraisal",199,1.1k,22,19,16,--,500
Hinduja Group,4,Automobile | Mumbai +52 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",199,1.9k,22,40,32,8,500
Solitaire World,3.9,Real Estate | Pune +3 other locations,missing,198,305,6,--,89,9,500
Light Microfinance,4.1,NBFC | Ahmedabad +72 other locations,"Highly Rated For Salary & Benefits, Company Culture, Work Life Balance",198,786,15,1,21,4,500
Binary Semantics,3.7,IT Services & Consulting | Gurugram +8 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",198,1.4k,18,9,26,--,500
Sanjeev Auto Parts Manufacturers,4.2,Auto Components | Aurangabad +3 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",198,753,12,--,35,--,500
Rehau Polymers,3.5,Engineering & Construction | Singapore +22 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",198,1.1k,12,--,27,1,500
Income Tax Department India,4.5,Government | Delhi/NCR +75 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",198,1k,10,--,17,--,500
Any Brand,4.1,Fashion & Textile | Guna +51 other locations,"Highly Rated For Work Satisfaction, Skill Development / Learning, Company Culture",198,2.1k,53,--,34,--,500
Coffee Day,3.3,Hospitality | Bangalore/Bengaluru +32 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",198,1.2k,21,2,29,1,500
Balrampur Chini Mills,4.1,Food Processing | Kolkata +16 other locations,Highly Rated For Salary & Benefits,198,842,16,--,15,2,500
Regency Hospital,4.2,Healthcare | Kanpur +8 other locations,"Highly Rated For Work Life Balance, Work Satisfaction, Company Culture",198,862,5,3,17,--,500
Medgenome Labs,3.9,Biotechnology | Bangalore +18 other locations,"Highly Rated For Skill Development / Learning, Job Security  Critically Rated For Work Life Balance, Promotions / Appraisal",198,893,17,--,18,--,500
Globus Stores,4,Retail | Mumbai +32 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction  Critically Rated For Promotions / Appraisal",198,762,8,--,27,--,500
SasMos HET Technologies,3.8,Electrical Equipment | Bengaluru +5 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",198,1.3k,14,--,14,--,500
Bss Microfinance,3.6,Financial Services | Bengaluru +81 other locations,"Critically Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning",198,653,12,40,17,2,500
FOX Solutions,3.7,Industrial Machinery | Nasik/Nashik +17 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Work Life Balance",198,1.1k,18,19,15,5,500
Agappe Diagnostics,4.1,Medical Equipment | Ernakulam +29 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits, Job Security",199,669,12,4,24,--,500
Varindera Constructions,4.1,Engineering & Construction | New Delhi +16 other locations,"Highly Rated For Salary & Benefits, Promotions / Appraisal, Job Security",198,799,7,--,20,3,500
Peerless Biotech,4.6,Medical Equipment | Lucknow +33 other locations,"Highly Rated For Skill Development / Learning, Work Satisfaction, Company Culture",198,128,3,--,7,--,500
Bandhan KOnnagar,3.5,Non-Profit | Kolkata +51 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",197,633,15,3,29,--,500
Dishnet Wireless,4.3,Telecom | Delhi/NCR +45 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",197,434,--,--,41,--,500
Motorola,4.2,Consumer Electronics & Appliances | Chicago +49 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security",197,1.1k,17,--,12,6,500
Stashfin,4.5,FinTech | Delhi +15 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Work Life Balance",197,689,8,32,17,--,500
