Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
Dr. Reddy's,4.1,Pharma | Hyderabad / Secunderabad +180 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",6.5k,24.1k,378,27,892,24,500
Muthoot Fincorp,4.5,NBFC | Trivandrum/Thiruvananthapuram +810 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Job Security",6.5k,8.1k,397,42,326,55,500
Sutherland Global Services,3.7,IT Services & Consulting | Ernakulam +61 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",6.5k,29.6k,588,175,970,29,500
Bajaj Finance,4,NBFC | Pune +814 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",6.3k,20.6k,287,21,539,9,500
ICICI Prudential Life Insurance,4.1,Insurance | Mumbai +467 other locations,"Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits",6k,21.5k,364,2,639,7,500
Wells Fargo,3.9,Financial Services | San Francisco +22 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",6k,49k,545,85,920,10,500
Jana Small Finance Bank,3.8,Banking | Bangalore/Bengaluru +366 other locations,missing,5.9k,14.5k,235,18,635,13,500
Amazon Development Centre India,4.1,Internet | Patancheru +95 other locations,"Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",5.9k,31.4k,679,11,70,11,500
Equitas Small Finance Bank,4.5,Banking | Chennai +416 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance",5.9k,11.8k,282,60,420,23,500
Lupin,4.2,Pharma | Mumbai +176 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",5.8k,22.3k,327,47,835,8,500
Delhivery,3.9,Logistics | Delhi +659 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,5.8k,18.5k,434,68,685,51,500
Zydus Lifesciences,4.2,Pharma | Ahmedabad +157 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",5.8k,18.5k,293,30,715,20,500
L&T Construction,4,Engineering & Construction | Chennai +370 other locations,"Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits  Critically Rated For Work Life Balance",5.7k,18.5k,675,--,844,22,500
JPMorgan Chase & Co.,4.1,Financial Services | New York +36 other locations,"Highly Rated For Job Security, Company Culture, Skill Development / Learning",5.7k,69.2k,724,651,918,14,500
Sun Pharmaceutical Industries,4.1,Pharma | Mumbai +218 other locations,"Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning",5.5k,22k,374,148,657,13,500
Hexaware Technologies,3.6,IT Services & Consulting | Navi Mumbai +55 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.5k,47.2k,700,200,601,25,500
JSW Steel,3.9,Iron & Steel | Mumbai +154 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",5.4k,26.3k,550,68,649,25,500
ITC,4,FMCG | Kolkata +326 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",5.4k,22.2k,531,12,749,7,500
FIS,3.9,FinTech | Jacksonville +47 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",5.3k,38.7k,464,165,789,16,500
HCL Group,3.7,IT Services & Consulting | Moradabad +80 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",5.3k,54.2k,439,1,708,1,500
Indian Army,4.7,Defence & Aerospace | New Delhi +338 other locations,"Highly Rated For Job Security, Company Culture, Skill Development / Learning",5.3k,9.4k,146,--,773,5,500
